Parameters:
  Sample : H3-0-substrate-I7
  Solvent : <unspecified>
  Comment : 1015 nm
I7

  Exc_Wavelength : 633.8 nm
  Exc_Bandpass : 2.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : open (5)
  Det_Wavelength : 1015.0 nm
  Det_Bandpass : 21.6 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 0.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 600gr_1250bl (2)
  Detector : IR [PMT]
  Meas_Time : 2400.0 s
  Meas_BinWidth : 8000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 2400.0 s
  Meas_PeakCounts : 41 counts
  Sync_Frequency : 5180 Hz
  Sync_Source : PDL 820
  Signal_Rate : 40 cps
  Start_Date : 30/08/2023
  Start_Time : 15:56:37
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : 18 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -50 mV
  Sync_TrigEdge : true
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
3231.99992635637	14
3239.99984175316	10
3247.99998452363	11
3255.99989992043	17
3263.99981531722	13
3271.99995808769	11
3279.99987348449	16
3288.00001625495	11
3295.99993165175	13
3303.99984704854	14
3311.99998981901	9
3319.99990521581	11
3327.9998206126	15
3335.99996338307	12
3343.99987877987	10
3351.99979417666	21
3359.99993694713	8
3367.99985234393	13
3375.9999951144	11
3383.99991051119	11
3391.99982590799	10
3399.99996867846	17
3407.99988407525	11
3415.99979947205	13
3423.99994224252	17
3431.99985763931	12
3440.00000040978	15
3447.99991580658	8
3455.99983120337	14
3463.99997397384	11
3471.99988937064	10
3479.99980476743	9
3487.9999475379	19
3495.9998629347	17
3504.00000570517	10
3511.99992110196	16
3519.99983649876	18
3527.99997926922	15
3535.99989466602	8
3543.99981006281	15
3551.99995283328	15
3559.99986823008	6
3568.00001100055	12
3575.99992639734	12
3583.99984179414	12
3591.99998456461	18
3599.9998999614	5
3607.9998153582	13
3615.99995812867	15
3623.99987352546	8
3631.99978892226	11
3639.99993169273	14
3647.99984708952	5
3655.99998985999	19
3663.99990525679	15
3671.99982065358	18
3679.99996342405	9
3687.99987882085	13
3695.99979421764	11
3703.99993698811	14
3711.99985238491	14
3719.99999515538	5
3727.99991055217	5
3735.99982594897	9
3743.99996871944	8
3751.99988411623	10
3759.99979951303	13
3767.9999422835	17
3775.99985768029	8
3784.00000045076	11
3791.99991584755	9
3799.99983124435	15
3807.99997401482	10
3816.00011678529	21
3824.00003218208	12
3831.99994757888	5
3839.99986297567	15
3847.99977837247	12
3855.99969376926	12
3864.00006391341	12
3871.9999793102	13
3879.999894707	12
3887.99981010379	19
3895.99972550059	12
3904.00009564473	12
3912.00001104153	15
3919.99992643832	13
3927.99984183512	10
3935.99975723191	11
3943.99967262871	11
3952.00004277285	13
3959.99995816965	15
3967.99987356644	11
3975.99978896324	12
3983.99970436003	11
3992.00007450418	15
3999.99998990097	12
4007.99990529777	13
4015.99982069456	10
4023.99973609135	7
4032.0001062355	18
4040.0000216323	9
4047.99993702909	13
4055.99985242588	12
4063.99976782268	14
4071.99968321947	10
4080.00005336362	10
4087.99996876041	18
4095.99988415721	11
4103.999799554	8
4111.9997149508	9
4120.00008509494	6
4128.00000049174	9
4135.99991588853	15
4143.99983128533	6
4151.99974668212	12
4159.99966207892	12
4168.00003222306	11
4175.99994761986	12
4183.99986301665	6
4191.99977841345	9
4199.99969381024	14
4208.00006395439	10
4215.99997935118	9
4223.99989474798	9
4231.99981014477	7
4239.99972554157	12
4248.00009568571	15
4256.00001108251	12
4263.9999264793	12
4271.9998418761	15
4279.99975727289	14
4287.99967266968	12
4296.00004281383	9
4303.99995821062	9
4311.99987360742	21
4319.99978900421	12
4327.99970440101	12
4336.00007454515	7
4343.99998994195	13
4351.99990533874	9
4359.99982073554	12
4367.99973613233	12
4375.99965152913	17
4384.00002167327	11
4391.99993707007	16
4399.99985246686	8
4407.99976786366	9
4415.99968326045	10
4424.0000534046	7
4431.99996880139	17
4439.99988419819	13
4447.99979959498	10
4455.99971499178	13
4464.00008513592	10
4472.00000053272	13
4479.99991592951	15
4487.99983132631	10
4495.9997467231	8
4503.9996621199	16
4512.00003226404	13
4519.99994766084	15
4527.99986305763	12
4535.99977845442	18
4543.99969385122	9
4552.00006399537	14
4559.99997939216	18
4567.99989478895	14
4575.99981018575	11
4583.99972558254	17
4592.00009572669	14
4600.00001112348	12
4607.99992652028	11
4615.99984191707	11
4623.99975731387	8
4631.99967271066	14
4640.00004285481	10
4647.9999582516	7
4655.9998736484	13
4663.99978904519	10
4671.99970444199	12
4680.00007458613	16
4687.99998998293	6
4695.99990537972	12
4703.99982077652	10
4711.99973617331	14
4719.99965157011	5
4728.00002171425	7
4735.99993711105	10
4743.99985250784	10
4751.99976790464	7
4759.99968330143	11
4768.00005344558	13
4775.99996884237	11
4783.99988423916	6
4791.99979963596	11
